,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
giraffe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
carrot,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bird,1,1,0,0,33,0,0,2,0,0,0,6,1,0,0,0,0,2,2,2,0,2,0,0,1,0,0,2,0,1,1,0,2,0,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0
skateboard,0,0,0,0,24,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
person,0,1,33,24,0,7,93,240,14,70,14,244,166,1,0,120,5,9,53,129,43,85,55,62,22,44,43,69,1,41,41,29,58,47,17,5,21,68,12,67,51,10,66,61,2,29,203,26,7,43,21,11,7,10,26,7,4,3,12,6,3,8,9,10,5,12,7,2,11,4,13,7,5,3,8,7,3,0
toothbrush,0,0,0,0,7,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diningtable,0,4,0,0,93,2,0,75,1,1,0,0,87,0,5,6,3,5,50,39,5,3,5,0,19,11,0,1,0,0,0,0,1,30,1,4,37,8,0,7,7,3,0,4,0,1,7,3,1,0,1,0,19,15,0,10,1,0,0,2,0,0,1,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0
chair,0,0,2,0,240,3,75,0,0,7,0,6,60,0,0,9,0,3,23,42,21,8,14,3,24,32,2,4,0,8,0,1,5,20,1,2,9,11,2,28,21,5,5,17,0,0,24,7,1,1,1,0,3,8,0,4,2,0,0,7,0,0,8,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0
suitcase,0,0,0,0,14,0,1,0,0,1,2,5,1,0,0,4,0,0,1,0,0,1,1,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backpack,0,0,0,1,70,0,1,7,1,0,1,4,3,0,0,11,0,0,1,6,1,1,1,2,0,1,0,5,0,1,0,0,0,1,0,1,0,4,1,3,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,0,0,0,0,14,0,0,0,2,1,0,7,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car,0,0,6,1,244,0,0,6,5,4,7,0,3,0,0,15,0,0,0,2,0,4,8,82,0,7,12,23,0,9,42,26,1,0,3,0,0,3,0,1,0,1,15,1,1,0,4,2,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,9,1,0,0,0,5,0
cup,0,1,1,0,166,1,87,60,1,3,0,3,0,0,1,5,2,1,46,54,7,2,1,0,18,6,0,1,0,3,0,0,1,36,1,2,15,10,3,13,13,3,0,7,0,0,11,2,2,0,1,0,15,11,0,9,2,0,0,3,0,1,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
bear,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handbag,0,0,0,0,120,0,6,9,4,11,2,15,5,0,0,0,1,2,3,3,1,4,7,3,0,1,2,6,0,2,2,2,1,2,1,0,0,3,0,3,1,0,8,5,0,0,8,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
donut,0,0,0,0,5,0,3,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0,0,2,0,9,0,5,3,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
bowl,0,5,2,0,53,1,50,23,1,1,0,0,46,0,0,3,0,1,0,22,3,2,0,0,9,7,0,0,1,2,0,0,2,12,0,1,7,1,0,3,0,4,0,1,0,0,0,3,1,1,0,0,17,6,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0
