,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
giraffe,0.0,0.0,-0.0005207322398422305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031186321450550944,0.0,0.0,0.0,0.0,-0.00032246188594044006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,-0.0005234510177236754,0.0,-0.0007539270033776459,0.0,-0.0015134320595306275,0.0,0.0,0.0,0.0,0.0,-0.0005164935581912385,0.0,0.0,0.0,0.0,0.0,-0.0016072822990452556,0.0,0.0,-0.0005182130634281724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003273271087668843,-0.0004754075163086465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036691599423249526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035894754310845624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,-0.0005207322398422305,-0.0005234510177236754,0.0,0.0,-0.014692126007662542,0.0,0.0,-0.0010498241121228912,0.0,0.0,0.0,-0.002686358493316298,-0.0005766695573706019,0.0,0.0,0.0,0.0,-0.0009320562600405778,-0.0009840835312040189,-0.0010024747740541129,0.0,-0.001030364034081934,0.0,0.0,-0.0005422357575654922,0.0,0.0,-0.0009661315105494594,0.0,-0.0005475118701588384,-0.0005384627265983254,0.0,-0.0009782962349501663,0.0,-0.0025435240638372303,-0.0005229137940229191,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005435305238259169,0.0,0.0,0.0,0.0,-0.0005666435093974566,0.0,-0.0016959524596585438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012785562265080074,0.0,-0.0005231828067871022,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005201784860786763,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,-0.011234289474072774,0.0,0.0,0.0,0.0,-0.00041529024717369386,0.0,-0.0005725751915360807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005201784860786763,-0.0004465800981067135,-0.00046423605679965166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003520222267099924,-0.0004484483597325957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032246188594044,0.0,0.0,0.0
person,0.0,-0.0007539270033776459,-0.014692126007662542,-0.011234289474072774,0.0,-0.004050615044354288,-0.032611130649492726,-0.06423754685346872,-0.007232355684038861,-0.02609159632609602,-0.00724386328482574,-0.06579758361925837,-0.049694113355066974,-0.0007541953989268157,0.0,-0.03902770373929125,-0.003044786792614682,-0.005009421637518568,-0.02117193841093867,-0.041337229042470974,-0.017929856383981292,-0.030575255573290838,-0.021741043443569433,-0.023878456174935385,-0.010502337173848561,-0.01826742163783571,-0.017903534226608994,-0.02586291517962759,-0.0007536370639239468,-0.017296555493676296,-0.017261608534614847,-0.013096447689172543,-0.02268131737329498,-0.019200486708372867,-0.008503972222498572,-0.003045304243520485,-0.01014626770940798,-0.025549825785483916,-0.006364625112389385,-0.02529873365651647,-0.020483642606156767,-0.0054677091233694295,-0.024990402053927194,-0.023572762011671092,-0.001382653259199073,-0.013094661748843625,-0.05680413355343754,-0.012088168190136863,-0.00405264182175333,-0.017961208416781446,-0.01009443424208572,-0.005919684214263609,-0.004054518007797715,-0.005468741887199088,-0.011996592059368812,-0.00405264182175333,-0.0025165614192253537,-0.0019643362915644858,-0.006361894226753285,-0.00355679630534836,-0.001964398514477704,-0.004534803347513475,-0.005008309189097215,-0.005467915770982235,-0.0030452008009374328,-0.006362639698948034,-0.00405264182175333,-0.0013830259954148807,-0.005919456745176407,-0.0025178829032628447,-0.0068008391427319265,-0.004052063407646383,-0.0030452008009374328,-0.0019643362915644858,-0.004532650750378661,-0.004050034765254563,-0.0019645229172945604,0.0
toothbrush,0.0,0.0,0.0,0.0,-0.004050615044354288,0.0,-0.0008760072798444312,-0.0013062873885758075,0.0,0.0,0.0,0.0,-0.0005141485472428119,0.0,0.0,0.0,0.0,0.0,-0.0004621432949743779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039762805793184543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004893439493317012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diningtable,0.0,-0.0015134320595306275,0.0,0.0,-0.032611130649492726,-0.0008760072798444312,0.0,-0.014200491457776078,-0.0005054234767989356,-0.0005196213034774056,0.0,0.0,-0.01427798509368613,0.0,-0.0017897105848853367,-0.0022268204409499038,-0.0012055902416956493,-0.0018222101607691537,-0.00942288380353454,-0.008637069022389794,-0.0018997770920765843,-0.0014043481074404213,-0.001929144225322883,0.0,-0.004961576183022981,-0.0034361034863393722,0.0,-0.0005299089317315649,0.0,0.0,0.0,0.0,-0.0005370923746949848,-0.006381698158344344,-0.0005215565329582805,-0.0015107358760593208,-0.008127718571255927,-0.0027012982529316517,0.0,-0.002494030585170053,-0.0024495909399847964,-0.0012147421048313502,0.0,-0.0016456871526716065,0.0,-0.0005126512630707644,-0.0026444639967148683,-0.0013672372488166646,-0.0005050956633121632,0.0,-0.0005141485472428119,0.0,-0.004641934805657377,-0.003926105772380583,0.0,-0.002978982285066161,-0.000502429254817034,0.0,0.0,-0.0008847880166696688,0.0,0.0,-0.0005073656680764641,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012264810894276983,-0.0012137404186809311,0.0,-0.000879435372163462,0.0,0.0,0.0,0.0,0.0
chair,0.0,0.0,-0.0010498241121228912,0.0,-0.06423754685346872,-0.0013062873885758075,-0.014200491457776078,0.0,0.0,-0.0026097312233187013,0.0,-0.0027171497529821097,-0.012930047885016917,0.0,0.0,-0.0032371661409084924,0.0,-0.0013248648081346955,-0.0064736608542461,-0.00989601347802807,-0.005832879068384241,-0.0031810244634547635,-0.004460850403718384,-0.001388538912117445,-0.006401116332740561,-0.007755556874124953,-0.0009665505314726289,-0.0017232040827074762,0.0,-0.002962270385620327,0.0,-0.0005435305238259169,-0.002080884015695254,-0.005554731641901296,-0.0005493380034567609,-0.0009466563760870762,-0.0033218322708249357,-0.003695369691670339,-0.0009489785941804638,-0.007190867919041493,-0.005836982606923219,-0.001959030608829455,-0.002045091416171294,-0.005190902234223994,0.0,0.0,-0.006896912841286229,-0.0027973350303384615,-0.0005375514813164097,-0.0005584968889341247,-0.0005439580054023227,0.0,-0.0013248648081346955,-0.0028052978440515418,0.0,-0.0016512247820568236,-0.0009466563760870762,0.0,0.0,-0.0025355405232741876,0.0,0.0,-0.0028161778136799394,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009539843870685907,-0.0009480532995704721,0.0,-0.0009461883149514589,-0.0005328514730175304,0.0,0.0,0.0,0.0
suitcase,0.0,0.0,0.0,0.0,-0.007232355684038861,0.0,-0.0005054234767989356,0.0,0.0,-0.00041529024717369386,-0.0006929087738162617,-0.002138751998158177,-0.0005184964800486077,0.0,0.0,-0.0013045409639076272,0.0,0.0,-0.0004697521663887631,0.0,0.0,-0.0005201784860786763,-0.0004465800981067135,-0.00046423605679965166,0.0,0.0,0.0,-0.0004446722237567987,0.0,0.0,-0.0009673856578213201,-0.0003943153635088528,-0.0004621432949743779,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004484483597325957,0.0,0.0,-0.0007526410766923795,0.0,0.0,0.0,0.0,-0.00149412036566135,0.0,0.0,-0.00039653732090922826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,0.0,0.0,0.0,-0.00041529024717369386,-0.02609159632609602,0.0,-0.0005196213034774056,-0.0026097312233187013,-0.00041529024717369386,0.0,-0.000445312686977249,-0.0018193654924909674,-0.001296126626000463,0.0,0.0,-0.0028559698565046162,0.0,0.0,-0.0004901230425327373,-0.002080637502968694,-0.0004605411511218173,-0.0005323676831285373,-0.00047215190067132965,-0.0008467588447687947,0.0,-0.0004672866778448853,0.0,-0.0016294748062721527,0.0,-0.0004754075163086465,0.0,0.0,0.0,-0.0004478299057338769,0.0,-0.00040689180032835783,0.0,-0.001343183461278454,-0.00041165400688413417,-0.0011241099343750856,0.0,0.0,-0.0008078172176247889,-0.0014307559811354395,0.0,0.0,-0.0005108210026336976,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041529024717369386,0.0,0.0,0.0,0.0,-0.0006769009476637384,0.0,0.0,0.0,-0.0004204831129723663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
