,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
giraffe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
carrot,0,0,1,0,-1,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bird,1,1,0,0,15,0,0,0,0,0,0,6,-1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0,7,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0
skateboard,0,0,0,0,10,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
person,0,-1,15,10,0,-1,-17,-17,0,12,10,137,-20,1,0,13,3,7,-2,-5,-11,9,13,45,6,2,29,38,-1,17,28,23,-20,-16,15,-3,-1,-6,0,15,13,-4,8,-2,0,17,-7,4,-1,23,-5,3,5,4,11,1,-2,1,1,0,3,4,-1,0,-1,2,5,2,3,-2,-1,5,1,3,2,5,3,0
toothbrush,0,0,0,0,-1,0,-2,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diningtable,0,4,0,0,-17,-2,0,15,-1,-1,0,0,13,0,3,-2,1,5,24,7,1,1,1,0,11,7,0,1,0,0,0,0,1,-4,1,0,21,6,0,3,5,3,0,2,0,1,-5,1,1,0,1,0,17,9,0,8,1,0,0,2,0,0,1,0,0,0,0,0,0,3,-3,0,2,0,0,0,0,0
chair,0,0,0,0,-17,-1,15,0,0,1,0,2,4,0,0,1,0,3,11,2,9,-4,8,1,12,20,2,2,0,6,0,1,3,-2,1,-2,3,-3,0,2,1,5,3,1,0,0,-8,1,-1,-1,1,0,3,4,0,2,0,0,0,-1,0,0,-4,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
suitcase,0,0,0,0,0,0,-1,0,0,1,2,3,-1,0,0,-2,0,0,-1,0,0,1,1,1,0,0,0,1,0,0,3,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backpack,0,0,0,1,12,0,-1,1,1,0,1,2,-3,0,0,1,0,0,1,2,1,1,1,2,0,1,0,3,0,1,0,0,0,-1,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,0,0,0,0,10,0,0,0,2,1,0,7,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car,0,0,6,-1,137,0,0,2,3,2,7,0,1,0,0,7,0,0,0,0,0,0,4,64,0,5,10,15,0,9,38,24,1,0,3,0,0,3,0,1,0,1,9,1,1,0,-2,0,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,0,5,0
cup,0,1,-1,0,-20,-1,13,4,-1,-3,0,1,0,0,1,-3,0,1,18,6,-3,-2,-1,0,12,0,0,1,0,3,0,0,-1,-8,1,-2,7,4,1,1,3,1,0,-1,0,0,-7,0,0,0,1,0,13,5,0,7,2,0,0,3,0,1,2,0,0,0,0,0,0,0,-4,0,1,0,0,0,0,0
bear,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handbag,0,0,0,0,13,0,-2,1,-2,1,2,7,-3,0,0,0,1,2,-1,3,1,0,7,3,0,1,2,2,0,2,0,2,1,0,1,0,0,3,0,-1,-1,0,2,1,0,0,-2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0
donut,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0,0,2,0,7,0,5,3,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
