Source,Target,Type
0,2,Undirected
0,61,Undirected
0,66,Undirected
1,2,Undirected
1,4,Undirected
1,6,Undirected
1,12,Undirected
1,18,Undirected
1,21,Undirected
1,35,Undirected
1,36,Undirected
1,52,Undirected
1,69,Undirected
2,0,Undirected
2,1,Undirected
2,4,Undirected
2,7,Undirected
2,11,Undirected
2,12,Undirected
2,17,Undirected
2,18,Undirected
2,19,Undirected
2,21,Undirected
2,24,Undirected
2,27,Undirected
2,29,Undirected
2,30,Undirected
2,32,Undirected
2,34,Undirected
2,35,Undirected
2,42,Undirected
2,47,Undirected
2,49,Undirected
2,66,Undirected
2,68,Undirected
2,75,Undirected
3,4,Undirected
3,9,Undirected
3,11,Undirected
3,21,Undirected
3,22,Undirected
3,23,Undirected
3,38,Undirected
3,39,Undirected
3,74,Undirected
4,1,Undirected
4,2,Undirected
4,3,Undirected
4,5,Undirected
4,6,Undirected
4,7,Undirected
4,8,Undirected
4,9,Undirected
4,10,Undirected
4,11,Undirected
4,12,Undirected
4,13,Undirected
4,15,Undirected
4,16,Undirected
4,17,Undirected
4,18,Undirected
4,19,Undirected
4,20,Undirected
4,21,Undirected
4,22,Undirected
4,23,Undirected
4,24,Undirected
4,25,Undirected
4,26,Undirected
4,27,Undirected
4,28,Undirected
4,29,Undirected
4,30,Undirected
4,31,Undirected
4,32,Undirected
4,33,Undirected
4,34,Undirected
4,35,Undirected
4,36,Undirected
4,37,Undirected
4,38,Undirected
4,39,Undirected
4,40,Undirected
4,41,Undirected
4,42,Undirected
4,43,Undirected
4,44,Undirected
4,45,Undirected
4,46,Undirected
4,47,Undirected
4,48,Undirected
4,49,Undirected
4,50,Undirected
4,51,Undirected
4,52,Undirected
4,53,Undirected
4,54,Undirected
4,55,Undirected
4,56,Undirected
4,57,Undirected
4,58,Undirected
4,59,Undirected
4,60,Undirected
4,61,Undirected
4,62,Undirected
4,63,Undirected
4,64,Undirected
4,65,Undirected
4,66,Undirected
4,67,Undirected
4,68,Undirected
4,69,Undirected
4,70,Undirected
4,71,Undirected
4,72,Undirected
4,73,Undirected
4,74,Undirected
4,75,Undirected
4,76,Undirected
5,4,Undirected
5,6,Undirected
5,7,Undirected
5,12,Undirected
5,18,Undirected
5,33,Undirected
5,46,Undirected
6,1,Undirected
6,4,Undirected
6,5,Undirected
6,7,Undirected
6,8,Undirected
6,9,Undirected
6,12,Undirected
6,14,Undirected
6,15,Undirected
6,16,Undirected
6,17,Undirected
6,18,Undirected
6,19,Undirected
6,20,Undirected
6,21,Undirected
6,22,Undirected
6,24,Undirected
6,25,Undirected
6,27,Undirected
6,32,Undirected
6,33,Undirected
6,34,Undirected
6,35,Undirected
6,36,Undirected
6,37,Undirected
6,39,Undirected
6,40,Undirected
6,41,Undirected
6,43,Undirected
6,45,Undirected
6,46,Undirected
6,47,Undirected
6,48,Undirected
6,50,Undirected
6,52,Undirected
6,53,Undirected
6,55,Undirected
6,56,Undirected
6,59,Undirected
6,62,Undirected
6,69,Undirected
6,70,Undirected
6,72,Undirected
7,2,Undirected
7,4,Undirected
7,5,Undirected
7,6,Undirected
7,9,Undirected
7,11,Undirected
7,12,Undirected
7,15,Undirected
7,17,Undirected
7,18,Undirected
7,19,Undirected
7,20,Undirected
7,21,Undirected
7,22,Undirected
7,23,Undirected
7,24,Undirected
7,25,Undirected
7,26,Undirected
7,27,Undirected
7,29,Undirected
7,31,Undirected
7,32,Undirected
7,33,Undirected
7,34,Undirected
7,35,Undirected
7,36,Undirected
7,37,Undirected
7,38,Undirected
7,39,Undirected
7,40,Undirected
7,41,Undirected
7,42,Undirected
7,43,Undirected
7,46,Undirected
7,47,Undirected
7,48,Undirected
7,49,Undirected
7,50,Undirected
7,52,Undirected
7,53,Undirected
7,55,Undirected
7,56,Undirected
7,59,Undirected
7,62,Undirected
7,69,Undirected
7,70,Undirected
7,72,Undirected
7,73,Undirected
8,4,Undirected
8,6,Undirected
8,9,Undirected
8,10,Undirected
8,11,Undirected
8,12,Undirected
8,15,Undirected
8,18,Undirected
8,21,Undirected
8,22,Undirected
8,23,Undirected
8,27,Undirected
8,30,Undirected
8,31,Undirected
8,32,Undirected
8,39,Undirected
8,42,Undirected
8,47,Undirected
8,50,Undirected
9,3,Undirected
