Source,Target,Sign,Type
0,2,1,Undirected
0,61,1,Undirected
0,66,1,Undirected
1,2,1,Undirected
1,4,0,Undirected
1,6,1,Undirected
1,12,1,Undirected
1,18,1,Undirected
1,21,1,Undirected
1,35,1,Undirected
1,36,1,Undirected
1,52,1,Undirected
1,69,1,Undirected
2,0,1,Undirected
2,1,1,Undirected
2,4,1,Undirected
2,11,1,Undirected
2,12,0,Undirected
2,17,1,Undirected
2,24,1,Undirected
2,27,1,Undirected
2,29,1,Undirected
2,30,1,Undirected
2,32,1,Undirected
2,34,1,Undirected
2,35,0,Undirected
2,42,1,Undirected
2,47,1,Undirected
2,49,1,Undirected
2,66,1,Undirected
2,68,1,Undirected
2,75,1,Undirected
3,4,1,Undirected
3,9,1,Undirected
3,11,0,Undirected
3,21,1,Undirected
3,22,1,Undirected
3,23,0,Undirected
3,38,0,Undirected
3,39,0,Undirected
3,74,1,Undirected
4,1,0,Undirected
4,2,1,Undirected
4,3,1,Undirected
4,5,0,Undirected
4,6,0,Undirected
4,7,0,Undirected
4,9,1,Undirected
4,10,1,Undirected
4,11,1,Undirected
4,12,0,Undirected
4,13,1,Undirected
4,15,1,Undirected
4,16,1,Undirected
4,17,1,Undirected
4,18,0,Undirected
4,19,0,Undirected
4,20,0,Undirected
4,21,1,Undirected
4,22,1,Undirected
4,23,1,Undirected
4,24,1,Undirected
4,25,1,Undirected
4,26,1,Undirected
4,27,1,Undirected
4,28,0,Undirected
4,29,1,Undirected
4,30,1,Undirected
4,31,1,Undirected
4,32,0,Undirected
4,33,0,Undirected
4,34,1,Undirected
4,35,0,Undirected
4,36,0,Undirected
4,37,0,Undirected
4,39,1,Undirected
4,40,1,Undirected
4,41,0,Undirected
4,42,1,Undirected
4,43,0,Undirected
4,45,1,Undirected
4,46,0,Undirected
4,47,1,Undirected
4,48,0,Undirected
4,49,1,Undirected
4,50,0,Undirected
4,51,1,Undirected
4,52,1,Undirected
4,53,1,Undirected
4,54,1,Undirected
4,55,1,Undirected
4,56,0,Undirected
4,57,1,Undirected
4,58,1,Undirected
4,60,1,Undirected
4,61,1,Undirected
4,62,0,Undirected
4,64,0,Undirected
4,65,1,Undirected
4,66,1,Undirected
4,67,1,Undirected
4,68,1,Undirected
4,69,0,Undirected
4,70,0,Undirected
4,71,1,Undirected
4,72,1,Undirected
4,73,1,Undirected
4,74,1,Undirected
4,75,1,Undirected
4,76,1,Undirected
5,4,0,Undirected
5,6,0,Undirected
5,7,0,Undirected
5,12,0,Undirected
5,18,0,Undirected
5,33,0,Undirected
5,46,1,Undirected
6,1,1,Undirected
6,4,0,Undirected
6,5,0,Undirected
6,7,1,Undirected
6,8,0,Undirected
6,9,0,Undirected
6,12,1,Undirected
6,14,1,Undirected
6,15,0,Undirected
6,16,1,Undirected
6,17,1,Undirected
6,18,1,Undirected
6,19,1,Undirected
6,20,1,Undirected
6,21,1,Undirected
6,22,1,Undirected
6,24,1,Undirected
6,25,1,Undirected
6,27,1,Undirected
6,32,1,Undirected
6,33,0,Undirected
6,34,1,Undirected
6,36,1,Undirected
6,37,1,Undirected
6,39,1,Undirected
6,40,1,Undirected
6,41,1,Undirected
6,43,1,Undirected
6,45,1,Undirected
6,46,0,Undirected
6,47,1,Undirected
6,48,1,Undirected
6,50,1,Undirected
6,52,1,Undirected
6,53,1,Undirected
6,55,1,Undirected
6,56,1,Undirected
6,59,1,Undirected
6,62,1,Undirected
6,69,1,Undirected
6,70,0,Undirected
6,72,1,Undirected
7,4,0,Undirected
7,5,0,Undirected
7,6,1,Undirected
7,9,1,Undirected
7,11,1,Undirected
7,12,1,Undirected
7,15,1,Undirected
7,17,1,Undirected
7,18,1,Undirected
7,19,1,Undirected
7,20,1,Undirected
7,21,0,Undirected
7,22,1,Undirected
7,23,1,Undirected
7,24,1,Undirected
7,25,1,Undirected
7,26,1,Undirected
7,27,1,Undirected
7,29,1,Undirected
7,31,1,Undirected
7,32,1,Undirected
7,33,0,Undirected
7,34,1,Undirected
7,35,0,Undirected
7,36,1,Undirected
7,37,0,Undirected
7,39,1,Undirected
7,40,1,Undirected
7,41,1,Undirected
7,42,1,Undirected
7,43,1,Undirected
7,46,0,Undirected
7,47,1,Undirected
7,48,0,Undirected
7,49,0,Undirected
7,50,1,Undirected
7,52,1,Undirected
7,53,1,Undirected
7,55,1,Undirected
7,59,0,Undirected
7,62,0,Undirected
7,70,1,Undirected
7,72,1,Undirected
7,73,1,Undirected
8,6,0,Undirected
8,9,1,Undirected
8,10,1,Undirected
8,11,1,Undirected
8,12,0,Undirected
8,15,0,Undirected
8,18,0,Undirected
8,21,1,Undirected
8,22,1,Undirected
8,23,1,Undirected
8,27,1,Undirected
8,30,1,Undirected
8,31,1,Undirected
8,32,0,Undirected
8,39,0,Undirected
8,47,0,Undirected
8,50,1,Undirected
9,3,1,Undirected
9,4,1,Undirected
9,6,0,Undirected
9,7,1,Undirected
9,8,1,Undirected
9,10,1,Undirected
9,11,1,Undirected
9,12,0,Undirected
9,15,1,Undirected
9,18,1,Undirected
9,19,1,Undirected
9,20,1,Undirected
9,21,1,Undirected
9,22,1,Undirected
9,23,1,Undirected
9,25,1,Undirected
9,27,1,Undirected
9,29,1,Undirected
9,33,0,Undirected
9,35,1,Undirected
9,38,1,Undirected
9,39,1,Undirected
9,42,1,Undirected
9,46,1,Undirected
9,53,0,Undirected
9,58,1,Undirected
9,62,0,Undirected
10,4,1,Undirected
10,8,1,Undirected
10,9,1,Undirected
10,11,1,Undirected
10,15,1,Undirected
10,22,1,Undirected
10,23,1,Undirected
10,30,1,Undirected
10,34,1,Undirected
10,49,1,Undirected
11,2,1,Undirected
11,3,0,Undirected
11,4,1,Undirected
11,7,1,Undirected
11,8,1,Undirected
11,9,1,Undirected
11,10,1,Undirected
11,12,1,Undirected
11,15,1,Undirected
11,22,1,Undirected
11,23,1,Undirected
11,25,1,Undirected
11,26,1,Undirected
11,27,1,Undirected
11,29,1,Undirected
11,30,1,Undirected
11,31,1,Undirected
11,32,1,Undirected
11,34,1,Undirected
11,37,1,Undirected
11,39,1,Undirected
11,41,1,Undirected
11,42,1,Undirected
11,43,1,Undirected
11,44,1,Undirected
11,46,0,Undirected
11,49,1,Undirected
11,51,1,Undirected
11,52,1,Undirected
11,59,1,Undirected
11,63,1,Undirected
11,67,1,Undirected
11,68,1,Undirected
11,71,1,Undirected
11,72,1,Undirected
11,76,1,Undirected
12,1,1,Undirected
12,2,0,Undirected
12,4,0,Undirected
12,5,0,Undirected
12,6,1,Undirected
12,7,1,Undirected
12,8,0,Undirected
12,9,0,Undirected
12,11,1,Undirected
12,14,1,Undirected
12,15,0,Undirected
12,17,1,Undirected
12,18,1,Undirected
12,19,1,Undirected
12,20,0,Undirected
12,21,0,Undirected
12,22,0,Undirected
12,24,1,Undirected
12,27,1,Undirected
12,29,1,Undirected
12,32,0,Undirected
12,33,0,Undirected
12,34,1,Undirected
12,35,0,Undirected
12,36,1,Undirected
12,37,1,Undirected
12,38,1,Undirected
12,39,1,Undirected
12,40,1,Undirected
12,41,1,Undirected
12,43,0,Undirected
12,46,0,Undirected
12,50,1,Undirected
12,52,1,Undirected
12,53,1,Undirected
12,55,1,Undirected
12,56,1,Undirected
12,59,1,Undirected
12,61,1,Undirected
12,62,1,Undirected
12,70,0,Undirected
12,72,1,Undirected
13,4,1,Undirected
13,21,1,Undirected
13,36,1,Undirected
13,47,1,Undirected
13,54,1,Undirected
13,63,1,Undirected
13,66,1,Undirected
13,67,1,Undirected
14,6,1,Undirected
14,12,1,Undirected
14,36,1,Undirected
14,53,1,Undirected
15,4,1,Undirected
15,6,0,Undirected
15,7,1,Undirected
15,8,0,Undirected
15,9,1,Undirected
15,10,1,Undirected
15,11,1,Undirected
15,12,0,Undirected
15,16,1,Undirected
15,17,1,Undirected
15,18,0,Undirected
15,19,1,Undirected
15,20,1,Undirected
15,22,1,Undirected
15,23,1,Undirected
15,25,1,Undirected
